"FinancialYear","Country","Dataset","DatasetQF","Discharges","Patients","Residents","ResidentsQF"
"1997/98","S92000003","SMR01"," ","1.42","1.4","","z"
"1997/98","S92000003","SMR04"," ","1.41","1.35","0.92"," "
"1997/98","S92000003","Total","d","1.41","1.36","0.92"," "
"1998/99","S92000003","SMR01"," ","1.44","1.38","","z"
"1998/99","S92000003","SMR04"," ","1.39","1.33","0.89"," "
"1998/99","S92000003","Total","d","1.4","1.34","0.89"," "
"1999/00","S92000003","SMR01"," ","1.56","1.47","","z"
"1999/00","S92000003","SMR04"," ","1.39","1.34","0.85"," "
"1999/00","S92000003","Total","d","1.43","1.37","0.85"," "
"2000/01","S92000003","SMR01"," ","1.44","1.36","","z"
"2000/01","S92000003","SMR04"," ","1.32","1.29","0.86"," "
"2000/01","S92000003","Total","d","1.35","1.31","0.86"," "
"2001/02","S92000003","SMR01"," ","1.36","1.31","","z"
"2001/02","S92000003","SMR04"," ","1.39","1.3","0.88"," "
"2001/02","S92000003","Total","d","1.38","1.3","0.88"," "
"2002/03","S92000003","SMR01"," ","1.33","1.3","","z"
"2002/03","S92000003","SMR04"," ","1.36","1.32","0.94"," "
"2002/03","S92000003","Total","d","1.35","1.31","0.94"," "
"2003/04","S92000003","SMR01"," ","1.38","1.3","","z"
"2003/04","S92000003","SMR04"," ","1.36","1.32","0.8"," "
"2003/04","S92000003","Total","d","1.36","1.31","0.8"," "
"2004/05","S92000003","SMR01"," ","1.55","1.47","","z"
"2004/05","S92000003","SMR04"," ","1.45","1.41","1.04"," "
"2004/05","S92000003","Total","d","1.47","1.43","1.04"," "
"2005/06","S92000003","SMR01"," ","1.56","1.49","","z"
"2005/06","S92000003","SMR04"," ","1.51","1.46","1.01"," "
"2005/06","S92000003","Total","d","1.53","1.46","1.01"," "
"2006/07","S92000003","SMR01"," ","1.59","1.54","","z"
"2006/07","S92000003","SMR04"," ","1.48","1.43","1"," "
"2006/07","S92000003","Total","d","1.52","1.46","1"," "
"2007/08","S92000003","SMR01"," ","1.72","1.64","","z"
"2007/08","S92000003","SMR04"," ","1.52","1.44","1.01"," "
"2007/08","S92000003","Total","d","1.59","1.5","1.01"," "
"2008/09","S92000003","SMR01"," ","1.74","1.61","","z"
"2008/09","S92000003","SMR04"," ","1.59","1.51","1.09"," "
"2008/09","S92000003","Total","d","1.65","1.53","1.09"," "
"2009/10","S92000003","SMR01"," ","1.7","1.61","","z"
"2009/10","S92000003","SMR04"," ","1.5","1.43","0.97"," "
"2009/10","S92000003","Total","d","1.57","1.48","0.97"," "
"2010/11","S92000003","SMR01"," ","1.68","1.61","","z"
"2010/11","S92000003","SMR04"," ","1.52","1.44","1.03"," "
"2010/11","S92000003","Total","d","1.58","1.49","1.03"," "
"2011/12","S92000003","SMR01"," ","1.57","1.53","","z"
"2011/12","S92000003","SMR04"," ","1.51","1.43","1.04"," "
"2011/12","S92000003","Total","d","1.54","1.45","1.04"," "
"2012/13","S92000003","SMR01"," ","1.47","1.45","","z"
"2012/13","S92000003","SMR04"," ","1.44","1.39","1.01"," "
"2012/13","S92000003","Total","d","1.45","1.4","1.01"," "
"2013/14","S92000003","SMR01"," ","1.41","1.34","","z"
"2013/14","S92000003","SMR04"," ","1.41","1.38","0.98"," "
"2013/14","S92000003","Total","d","1.41","1.37","0.98"," "
"2014/15","S92000003","SMR01"," ","1.56","1.45","","z"
"2014/15","S92000003","SMR04"," ","1.46","1.44","0.91"," "
"2014/15","S92000003","Total","d","1.51","1.44","0.91"," "
"2015/16","S92000003","SMR01"," ","1.54","1.38","","z"
"2015/16","S92000003","SMR04"," ","1.41","1.4","0.99"," "
"2015/16","S92000003","Total","d","1.47","1.39","0.99"," "
"2016/17","S92000003","SMR01"," ","1.66","1.47","","z"
"2016/17","S92000003","SMR04"," ","1.38","1.35","0.89"," "
"2016/17","S92000003","Total","d","1.53","1.4","0.89"," "
"2017/18","S92000003","SMR01"," ","1.6","1.49","","z"
"2017/18","S92000003","SMR04"," ","1.49","1.46","1.19"," "
"2017/18","S92000003","Total","d","1.55","1.46","1.19"," "
"2018/19","S92000003","SMR01"," ","1.51","1.41","","z"
"2018/19","S92000003","SMR04"," ","1.53","1.49","1.19"," "
"2018/19","S92000003","Total","d","1.52","1.44","1.19"," "
"2019/20","S92000003","SMR01"," ","1.55","1.47","","z"
"2019/20","S92000003","SMR04"," ","1.54","1.46","1.09"," "
"2019/20","S92000003","Total","d","1.54","1.45","1.09"," "
"2020/21","S92000003","SMR01"," ","1.42","1.36","","z"
"2020/21","S92000003","SMR04"," ","1.48","1.41","1.21"," "
"2020/21","S92000003","Total","d","1.45","1.37","1.21"," "
"2021/22","S92000003","SMR01"," ","1.31","1.22","","z"
"2021/22","S92000003","SMR04"," ","1.39","1.32","1.12"," "
"2021/22","S92000003","Total","d","1.34","1.26","1.12"," "
"2022/23","S92000003","SMR01"," ","1.28","1.18","","z"
"2022/23","S92000003","SMR04"," ","1.45","1.36","1.25"," "
"2022/23","S92000003","Total","d","1.34","1.26","1.25"," "
